InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,anomaly_score
536374,21258,VICTORIAN SEWING BOX LARGE,32,2010-12-01 09:09:00,10.95,15100.0,United Kingdom,350.4,-1
536387,79321,CHILLI LIGHTS,192,2010-12-01 09:58:00,3.82,16029.0,United Kingdom,733.4399999999999,-1
536387,22780,LIGHT GARLAND BUTTERFILES PINK,192,2010-12-01 09:58:00,3.37,16029.0,United Kingdom,647.04,-1
536387,22779,WOODEN OWLS LIGHT GARLAND ,192,2010-12-01 09:58:00,3.37,16029.0,United Kingdom,647.04,-1
536387,22466,FAIRY TALE COTTAGE NIGHTLIGHT,432,2010-12-01 09:58:00,1.45,16029.0,United Kingdom,626.4,-1
536387,21731,RED TOADSTOOL LED NIGHT LIGHT,432,2010-12-01 09:58:00,1.25,16029.0,United Kingdom,540.0,-1
536390,20668,DISCO BALL CHRISTMAS DECORATION,288,2010-12-01 10:19:00,0.1,17511.0,United Kingdom,28.8,-1
536392,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,2010-12-01 10:29:00,165.0,13705.0,United Kingdom,165.0,-1
536405,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2010-12-01 11:32:00,2.55,14045.0,United Kingdom,326.4,-1
536437,21154,RED RETROSPOT OVEN GLOVE ,200,2010-12-01 12:12:00,1.06,13694.0,United Kingdom,212.0,-1
536437,17021,NAMASTE SWAGAT INCENSE,600,2010-12-01 12:12:00,0.24,13694.0,United Kingdom,144.0,-1
536477,21137,BLACK RECORD COVER FRAME,480,2010-12-01 12:27:00,3.39,16210.0,United Kingdom,1627.2,-1
536575,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-01 16:01:00,2.55,13777.0,United Kingdom,326.4,-1
536575,22095,LADS ONLY TISSUE BOX,252,2010-12-01 16:01:00,1.25,13777.0,United Kingdom,315.0,-1
536576,22041,"RECORD FRAME 7"" SINGLE SIZE ",144,2010-12-01 16:11:00,2.1,13777.0,United Kingdom,302.40000000000003,-1
536576,84029E,RED WOOLLY HOTTIE WHITE HEART.,96,2010-12-01 16:11:00,2.95,13777.0,United Kingdom,283.20000000000005,-1
536576,35004C,SET OF 3 COLOURED  FLYING DUCKS,120,2010-12-01 16:11:00,4.65,13777.0,United Kingdom,558.0,-1
536576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-01 16:11:00,2.55,13777.0,United Kingdom,326.4,-1
536579,21232,STRAWBERRY CERAMIC TRINKET BOX,216,2010-12-01 16:16:00,1.06,13777.0,United Kingdom,228.96,-1
536581,85099B,JUMBO BAG RED RETROSPOT,200,2010-12-01 16:19:00,1.65,13777.0,United Kingdom,330.0,-1
536584,84029E,RED WOOLLY HOTTIE WHITE HEART.,384,2010-12-01 16:22:00,2.95,13777.0,United Kingdom,1132.8000000000002,-1
536736,21791,VINTAGE HEADS AND TAILS CARD GAME ,216,2010-12-02 12:59:00,1.06,17381.0,United Kingdom,228.96,-1
536736,22616,PACK OF 12 LONDON TISSUES ,600,2010-12-02 12:59:00,0.29,17381.0,United Kingdom,174.0,-1
536736,22555,PLASTERS IN TIN STRONGMAN,144,2010-12-02 12:59:00,1.65,17381.0,United Kingdom,237.6,-1
536783,16237,SLEEPING CAT ERASERS,270,2010-12-02 15:19:00,0.16,15061.0,United Kingdom,43.2,-1
536783,48194,DOORMAT HEARTS,70,2010-12-02 15:19:00,6.75,15061.0,United Kingdom,472.5,-1
536783,22752,SET 7 BABUSHKA NESTING BOXES,96,2010-12-02 15:19:00,7.65,15061.0,United Kingdom,734.4000000000001,-1
